UDH_Atlas,T_freq_basico,T_freq_fund,T_freq_medio,T_freq_superior,I_ESCOLARIDADE,I_FREQ_PROP,IDHM,IDHM_E,IDHM_L,IDHM_R
1355030804006,91.59,93.06,32.21,5.04,0.433,0.602,0.638,0.539,0.749,0.643
1355030804007,89.36,92.92,38.44,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804008,89.36,92.92,38.44,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804009,98.08,98.85,90.35,25.37,0.748,0.839,0.837,0.807,0.908,0.799
1355030804010,91.59,96.37,60.86,22.11,0.655,0.725,0.775,0.701,0.882,0.754
1355030804011,85.30,90.53,21.04,3.83,0.435,0.656,0.648,0.572,0.746,0.638
1355030804012,89.36,92.92,38.44,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804013,84.79,89.97,23.42,5.04,0.433,0.602,0.638,0.539,0.749,0.643
1355030804014,93.93,95.65,63.53,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804015,88.18,92.28,36.19,6.91,0.572,0.721,0.723,0.667,0.819,0.693
1355030804016,91.59,93.06,32.21,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804017,91.59,96.37,60.86,22.11,0.655,0.725,0.775,0.701,0.882,0.754
1355030804018,92.92,95.95,47.54,6.91,0.572,0.721,0.723,0.667,0.819,0.693
1355030804019,91.59,96.37,60.86,22.11,0.655,0.725,0.775,0.701,0.882,0.754
1355030804020,95.63,97.78,76.21,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804021,96.32,97.48,73.18,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804022,92.70,95.01,45.05,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804023,91.59,93.06,32.21,4.68,0.463,0.689,0.657,0.603,0.743,0.634
1355030804024,88.43,93.80,28.95,3.83,0.435,0.656,0.648,0.572,0.746,0.638
1355030804025,92.92,95.95,47.54,6.91,0.572,0.721,0.723,0.667,0.819,0.693
1355030804026,88.55,93.20,33.29,5.86,0.425,0.601,0.639,0.535,0.754,0.648
1355030804027,89.36,92.92,38.44,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804028,86.11,91.28,32.42,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030804029,79.20,87.52,15.61,5.86,0.425,0.601,0.639,0.535,0.754,0.648
1355030804030,87.88,92.00,22.46,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030804031,79.20,87.52,15.61,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030804032,79.20,87.52,15.61,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030804033,86.71,91.85,30.40,3.83,0.435,0.656,0.648,0.572,0.746,0.638
1355030804034,95.63,97.78,76.21,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804035,84.79,89.97,23.42,5.04,0.433,0.602,0.638,0.539,0.749,0.643
1355030804036,84.79,89.97,23.42,5.04,0.433,0.602,0.638,0.539,0.749,0.643
1355030804037,88.78,94.23,28.47,5.04,0.433,0.602,0.638,0.539,0.749,0.643
1355030804038,93.77,96.15,46.05,3.96,0.442,0.613,0.638,0.550,0.743,0.635
1355030804039,94.77,95.55,67.65,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804040,93.14,95.53,64.04,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804041,86.71,91.85,30.40,3.83,0.435,0.656,0.648,0.572,0.746,0.638
1355030804042,92.92,95.95,47.54,14.81,0.592,0.742,0.736,0.688,0.832,0.697
1355030804043,92.92,95.95,47.54,6.91,0.572,0.721,0.723,0.667,0.819,0.693
1355030804044,88.14,92.24,37.41,16.36,0.636,0.729,0.752,0.697,0.842,0.725
1355030804045,91.59,96.37,60.86,22.11,0.655,0.725,0.775,0.701,0.882,0.754
1355030804046,95.49,98.40,57.22,30.37,0.717,0.844,0.790,0.799,0.852,0.725
1355030804047,96.93,98.30,71.17,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804048,98.08,98.85,90.35,25.37,0.748,0.839,0.837,0.807,0.908,0.799
1355030804049,88.51,90.95,47.37,6.91,0.572,0.721,0.723,0.667,0.819,0.693
1355030804050,89.66,93.69,50.31,16.36,0.636,0.729,0.752,0.697,0.842,0.725
1355030804051,86.71,91.85,30.40,3.83,0.435,0.656,0.648,0.572,0.746,0.638
1355030804052,88.99,92.90,44.98,13.99,0.549,0.718,0.715,0.657,0.815,0.684
1355030804053,91.32,95.83,53.39,11.71,0.600,0.769,0.753,0.708,0.846,0.713
1355030804054,89.27,92.16,46.49,8.54,0.540,0.728,0.728,0.659,0.836,0.699
1355030804055,90.49,93.40,35.11,12.89,0.562,0.691,0.713,0.645,0.820,0.685
1355030804056,95.49,98.40,57.22,30.37,0.717,0.844,0.790,0.799,0.852,0.725
1355030804057,92.92,95.95,47.54,14.81,0.592,0.742,0.736,0.688,0.832,0.697
1355030804058,81.50,83.93,31.80,5.08,0.489,0.670,0.683,0.603,0.792,0.668
1355030804059,86.40,90.81,31.48,4.15,0.447,0.651,0.651,0.574,0.749,0.643
1355030804060,86.44,91.71,26.03,6.54,0.499,0.721,0.698,0.638,0.796,0.670
1355030804061,98.08,98.85,90.35,25.37,0.748,0.839,0.837,0.807,0.908,0.799
1355030804062,90.99,92.48,45.62,6.91,0.572,0.721,0.723,0.667,0.819,0.693
1355030804063,89.25,95.37,43.65,5.45,0.396,0.598,0.661,0.521,0.804,0.689
1355030804064,95.63,97.78,76.21,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804065,95.63,97.78,76.21,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804066,99.23,99.67,82.15,49.41,0.885,0.840,0.932,0.855,0.948,1.000
1355030804067,95.63,97.78,76.21,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804068,98.08,98.85,90.35,25.37,0.748,0.839,0.837,0.807,0.908,0.799
1355030804069,95.63,97.78,76.21,31.35,0.812,0.838,0.891,0.829,0.924,0.922
1355030804070,84.79,89.97,23.42,5.04,0.433,0.602,0.638,0.539,0.749,0.643
1355030804071,89.98,94.53,42.92,16.36,0.636,0.729,0.752,0.697,0.842,0.725
1355030804072,97.49,99.37,87.18,43.72,0.874,0.812,0.927,0.832,0.957,1.000
